Rank,Name,Role,Game Type,Map,Game Rank,KD,KDA,Win %,Pick %,Avg. Score,First Blood %,Matches
4,Astra,controller,Spikerush,Breeze,,0.94, 3.8  /  4  /  1.2 ,51.1%,0.6%,182,0.2%,"2,526"
5,Chamber,sentinel,Spikerush,Breeze,,1.15, 4.6  /  4  /  1.1 ,50.9%,4.5%,222,0.1%,"19,892"
6,Viper,controller,Spikerush,Breeze,,0.94, 3.8  /  4  /  1.3 ,50.2%,4.1%,186,0.2%,"18,233"
7,Skye,initiator,Spikerush,Breeze,,0.92, 3.7  /  4.1  /  1.9 ,50.1%,3.2%,186,0.1%,"14,090"
8,Phoenix,duelist,Spikerush,Breeze,,1.0, 4  /  4  /  1.2 ,50.0%,5.8%,197,0.1%,"25,798"
9,Raze,duelist,Spikerush,Breeze,,1.01, 4.2  /  4.2  /  1.2 ,49.8%,10.0%,213,0.1%,"43,924"
10,Sage,sentinel,Spikerush,Breeze,,0.86, 3.4  /  4  /  1.6 ,49.5%,9.4%,171,0.1%,"41,354"
11,Cypher,sentinel,Spikerush,Breeze,,0.96, 3.8  /  4  /  1.4 ,49.2%,2.0%,187,0.2%,"8,765"
12,Harbor,controller,Spikerush,Breeze,,0.9, 3.8  /  4.2  /  1.3 ,49.2%,1.4%,183,0.1%,"6,376"
13,Yoru,duelist,Spikerush,Breeze,,0.98, 4  /  4.1  /  1.2 ,49.1%,5.8%,193,0.1%,"25,549"
14,Killjoy,sentinel,Spikerush,Breeze,,0.93, 3.7  /  4  /  1.2 ,49.0%,3.1%,187,0.2%,"13,628"
15,Brimstone,controller,Spikerush,Breeze,,0.9, 3.5  /  3.9  /  1.4 ,48.8%,2.2%,178,0.2%,"9,805"
16,Fade,initiator,Spikerush,Breeze,,0.83, 3.4  /  4.1  /  1.6 ,48.7%,3.7%,172,0.1%,"16,299"
17,Omen,controller,Spikerush,Breeze,,0.93, 3.8  /  4.1  /  1.2 ,48.6%,3.7%,187,0.1%,"16,233"
18,Sova,initiator,Spikerush,Breeze,,0.89, 3.6  /  4  /  1.3 ,48.6%,4.4%,179,0.2%,"19,385"
19,Breach,initiator,Spikerush,Breeze,,0.91, 3.9  /  4.3  /  1.5 ,48.4%,1.5%,191,0.1%,"6,519"
20,KAY/O,initiator,Spikerush,Breeze,,0.88, 3.7  /  4.2  /  2 ,47.9%,3.1%,187,0.1%,"13,789"
1,Killjoy,sentinel,Spikerush,Bind,,0.99, 3.9  /  3.9  /  1.2 ,51.7%,3.8%,194,0.2%,"17,142"
2,Phoenix,duelist,Spikerush,Bind,,1.03, 4.1  /  4  /  1.2 ,51.2%,6.4%,205,0.1%,"28,602"
3,Reyna,duelist,Spikerush,Bind,,1.15, 4.7  /  4.1  /  1.3 ,51.1%,11.6%,229,0.1%,"52,275"
4,Raze,duelist,Spikerush,Bind,,1.09, 4.6  /  4.2  /  1.3 ,50.9%,12.0%,232,0.1%,"54,046"
5,Chamber,sentinel,Spikerush,Bind,,1.08, 4.4  /  4.1  /  1 ,50.8%,3.8%,212,0.1%,"17,020"
6,Jett,duelist,Spikerush,Bind,,1.06, 4.4  /  4.2  /  1.1 ,50.4%,10.8%,218,0.1%,"48,627"
7,Neon,duelist,Spikerush,Bind,,0.99, 4.3  /  4.3  /  1.2 ,50.3%,7.2%,210,0.1%,"32,378"
8,Skye,initiator,Spikerush,Bind,,0.92, 3.8  /  4.1  /  2 ,49.8%,3.2%,188,0.1%,"14,410"
9,Fade,initiator,Spikerush,Bind,,0.84, 3.5  /  4.2  /  1.7 ,49.7%,4.0%,174,0.1%,"18,197"
10,Sage,sentinel,Spikerush,Bind,,0.88, 3.5  /  4  /  1.7 ,49.6%,9.6%,174,0.1%,"43,076"
11,Breach,initiator,Spikerush,Bind,,0.94, 4  /  4.2  /  1.5 ,49.1%,1.7%,195,0.1%,"7,525"
12,Viper,controller,Spikerush,Bind,,0.88, 3.6  /  4.1  /  1.3 ,49.0%,2.6%,179,0.1%,"11,537"
13,Sova,initiator,Spikerush,Bind,,0.89, 3.5  /  4  /  1.3 ,48.9%,3.9%,177,0.2%,"17,475"
14,Brimstone,controller,Spikerush,Bind,,0.94, 3.7  /  4  /  1.6 ,48.8%,2.8%,188,0.1%,"12,666"
15,Omen,controller,Spikerush,Bind,,0.96, 4  /  4.2  /  1.4 ,48.8%,4.0%,195,0.1%,"18,117"
16,Yoru,duelist,Spikerush,Bind,,0.95, 3.9  /  4.1  /  1.2 ,48.6%,5.5%,191,0.1%,"24,878"
17,Cypher,sentinel,Spikerush,Bind,,0.97, 3.9  /  4  /  1.4 ,48.3%,2.5%,188,0.1%,"11,366"
18,Harbor,controller,Spikerush,Bind,,0.87, 3.7  /  4.2  /  1.3 ,47.4%,1.1%,181,0.1%,"4,857"
19,Astra,controller,Spikerush,Bind,,0.96, 3.9  /  4  /  1.3 ,47.2%,0.6%,189,0.1%,"2,863"
20,KAY/O,initiator,Spikerush,Bind,,0.86, 3.7  /  4.3  /  2.2 ,47.2%,2.9%,186,0.1%,"13,063"
1,Killjoy,sentinel,Spikerush,Fracture,,0.99, 3.8  /  3.9  /  1.2 ,51.9%,3.8%,192,0.2%,"16,752"
2,Reyna,duelist,Spikerush,Fracture,,1.14, 4.7  /  4.1  /  1.4 ,51.1%,11.6%,228,0.1%,"51,204"
3,Jett,duelist,Spikerush,Fracture,,1.09, 4.5  /  4.2  /  1.2 ,50.7%,10.9%,224,0.1%,"48,092"
4,Raze,duelist,Spikerush,Fracture,,1.06, 4.5  /  4.2  /  1.4 ,50.7%,10.7%,225,0.1%,"47,475"
5,Neon,duelist,Spikerush,Fracture,,1.03, 4.4  /  4.3  /  1.3 ,50.6%,8.0%,218,0.1%,"35,360"
6,Chamber,sentinel,Spikerush,Fracture,,1.09, 4.4  /  4  /  1.1 ,50.5%,3.9%,214,0.1%,"17,276"
7,Breach,initiator,Spikerush,Fracture,,1.0, 4.2  /  4.2  /  1.7 ,50.4%,2.4%,204,0.1%,"10,642"
8,Phoenix,duelist,Spikerush,Fracture,,1.02, 4.1  /  4  /  1.3 ,50.3%,6.2%,203,0.1%,"27,314"
9,Sage,sentinel,Spikerush,Fracture,,0.87, 3.4  /  4  /  1.8 ,49.8%,9.6%,172,0.1%,"42,422"
10,Brimstone,controller,Spikerush,Fracture,,0.95, 3.7  /  3.9  /  1.7 ,49.8%,2.6%,189,0.2%,"11,654"
11,Skye,initiator,Spikerush,Fracture,,0.91, 3.7  /  4.1  /  2.1 ,49.8%,3.1%,186,0.1%,"13,605"
12,Yoru,duelist,Spikerush,Fracture,,0.96, 3.9  /  4.1  /  1.2 ,49.2%,5.4%,191,0.1%,"23,877"
13,Viper,controller,Spikerush,Fracture,,0.88, 3.6  /  4.1  /  1.4 ,49.2%,3.0%,179,0.1%,"13,353"
14,Cypher,sentinel,Spikerush,Fracture,,0.97, 3.8  /  4  /  1.4 ,48.7%,2.3%,188,0.1%,"10,246"
15,KAY/O,initiator,Spikerush,Fracture,,0.87, 3.7  /  4.2  /  2.2 ,48.7%,3.2%,186,0.1%,"13,952"
16,Sova,initiator,Spikerush,Fracture,,0.86, 3.4  /  4  /  1.4 ,48.6%,3.8%,174,0.1%,"16,918"
17,Fade,initiator,Spikerush,Fracture,,0.85, 3.5  /  4.1  /  1.8 ,48.6%,4.0%,176,0.1%,"17,812"
18,Harbor,controller,Spikerush,Fracture,,0.89, 3.7  /  4.2  /  1.5 ,47.8%,1.2%,183,0.1%,"5,401"
19,Omen,controller,Spikerush,Fracture,,0.92, 3.8  /  4.2  /  1.4 ,47.1%,3.8%,187,0.1%,"16,891"
20,Astra,controller,Spikerush,Fracture,,0.98, 4  /  4.1  /  1.4 ,44.4%,0.6%,192,0.1%,"2,594"
1,Reyna,duelist,Spikerush,Pearl,,1.16, 4.7  /  4.1  /  1.4 ,51.4%,11.6%,231,0.1%,"52,261"
2,Phoenix,duelist,Spikerush,Pearl,,1.04, 4.1  /  4  /  1.3 ,51.2%,6.3%,207,0.1%,"28,423"
3,Killjoy,sentinel,Spikerush,Pearl,,0.97, 3.7  /  3.9  /  1.3 ,51.0%,3.5%,189,0.2%,"15,905"
4,Raze,duelist,Spikerush,Pearl,,1.06, 4.5  /  4.2  /  1.4 ,50.7%,10.4%,225,0.1%,"46,824"
5,Jett,duelist,Spikerush,Pearl,,1.07, 4.5  /  4.2  /  1.2 ,50.7%,11.0%,221,0.1%,"49,488"
6,Neon,duelist,Spikerush,Pearl,,0.99, 4.3  /  4.3  /  1.3 ,50.5%,7.6%,213,0.1%,"34,076"
7,Chamber,sentinel,Spikerush,Pearl,,1.11, 4.4  /  4  /  1.1 ,50.3%,4.1%,215,0.1%,"18,616"
8,Fade,initiator,Spikerush,Pearl,,0.87, 3.6  /  4.1  /  1.9 ,49.8%,4.5%,180,0.1%,"20,153"
9,Sage,sentinel,Spikerush,Pearl,,0.87, 3.5  /  4  /  1.8 ,49.7%,9.7%,172,0.1%,"43,802"
10,Skye,initiator,Spikerush,Pearl,,0.9, 3.7  /  4.1  /  2.2 ,49.7%,2.9%,184,0.1%,"13,142"
11,Cypher,sentinel,Spikerush,Pearl,,0.97, 3.9  /  4  /  1.4 ,49.4%,2.5%,187,0.2%,"11,061"
12,Breach,initiator,Spikerush,Pearl,,0.92, 3.9  /  4.2  /  1.7 ,49.2%,1.6%,191,0.1%,"7,228"
13,Astra,controller,Spikerush,Pearl,,1.04, 4.2  /  4  /  1.6 ,49.1%,0.8%,201,0.1%,"3,486"
14,Yoru,duelist,Spikerush,Pearl,,0.96, 3.9  /  4.1  /  1.3 ,48.9%,5.5%,192,0.1%,"24,944"
15,Brimstone,controller,Spikerush,Pearl,,0.92, 3.7  /  4  /  1.7 ,48.9%,2.4%,187,0.1%,"10,891"
16,Sova,initiator,Spikerush,Pearl,,0.89, 3.5  /  4  /  1.4 ,48.1%,3.9%,178,0.2%,"17,342"
17,Viper,controller,Spikerush,Pearl,,0.91, 3.7  /  4.1  /  1.4 ,48.1%,3.3%,185,0.1%,"14,977"
18,KAY/O,initiator,Spikerush,Pearl,,0.88, 3.7  /  4.2  /  2.2 ,48.0%,3.1%,190,0.1%,"14,092"
19,Omen,controller,Spikerush,Pearl,,0.94, 3.9  /  4.2  /  1.4 ,48.0%,3.8%,191,0.1%,"16,900"
20,Harbor,controller,Spikerush,Pearl,,0.88, 3.7  /  4.2  /  1.6 ,47.1%,1.4%,185,0.1%,"6,329"
1,Reyna,duelist,Spikerush,Lotus,,1.15, 4.7  /  4.1  /  1.4 ,51.5%,11.8%,229,0.1%,"59,433"
2,Phoenix,duelist,Spikerush,Lotus,,1.04, 4.2  /  4  /  1.3 ,51.3%,6.3%,206,0.1%,"32,059"
3,Chamber,sentinel,Spikerush,Lotus,,1.1, 4.4  /  4  /  1.1 ,51.1%,3.8%,215,0.1%,"19,393"
4,Jett,duelist,Spikerush,Lotus,,1.07, 4.5  /  4.2  /  1.2 ,50.8%,11.1%,222,0.1%,"56,044"
5,Raze,duelist,Spikerush,Lotus,,1.07, 4.5  /  4.2  /  1.5 ,50.6%,11.0%,231,0.1%,"55,563"
6,Neon,duelist,Spikerush,Lotus,,1.01, 4.4  /  4.3  /  1.3 ,50.5%,7.7%,214,0.1%,"38,731"
7,Killjoy,sentinel,Spikerush,Lotus,,0.96, 3.8  /  4  /  1.2 ,50.3%,3.6%,189,0.2%,"18,124"
8,Sage,sentinel,Spikerush,Lotus,,0.88, 3.5  /  4  /  1.8 ,49.6%,9.4%,175,0.1%,"47,706"
9,Astra,controller,Spikerush,Lotus,,1.03, 4.1  /  4  /  1.4 ,49.4%,0.7%,199,0.1%,"3,531"
10,Fade,initiator,Spikerush,Lotus,,0.85, 3.5  /  4.2  /  1.9 ,49.3%,4.1%,177,0.1%,"20,721"
11,Skye,initiator,Spikerush,Lotus,,0.92, 3.8  /  4.1  /  2.2 ,49.1%,3.3%,188,0.1%,"16,579"
12,Sova,initiator,Spikerush,Lotus,,0.88, 3.5  /  4  /  1.5 ,49.0%,3.8%,178,0.1%,"19,124"
13,Brimstone,controller,Spikerush,Lotus,,0.91, 3.7  /  4  /  1.8 ,48.9%,2.3%,186,0.1%,"11,767"
14,Viper,controller,Spikerush,Lotus,,0.87, 3.6  /  4.1  /  1.4 ,48.8%,2.5%,178,0.1%,"12,752"
15,Breach,initiator,Spikerush,Lotus,,0.98, 4.2  /  4.3  /  1.8 ,48.7%,2.1%,205,0.1%,"10,561"
16,Omen,controller,Spikerush,Lotus,,0.92, 3.9  /  4.2  /  1.4 ,48.5%,4.0%,189,0.1%,"20,431"
17,Yoru,duelist,Spikerush,Lotus,,0.95, 3.9  /  4.2  /  1.3 ,48.4%,5.6%,191,0.1%,"28,145"
18,Cypher,sentinel,Spikerush,Lotus,,0.97, 3.9  /  4  /  1.4 ,48.2%,2.2%,186,0.2%,"11,370"
19,KAY/O,initiator,Spikerush,Lotus,,0.88, 3.7  /  4.2  /  2.5 ,48.1%,3.2%,189,0.1%,"16,366"
20,Harbor,controller,Spikerush,Lotus,,0.9, 3.8  /  4.2  /  1.6 ,47.8%,1.4%,185,0.1%,"7,100"
1,Killjoy,sentinel,Unrated,All,,0.99, 11.9  /  12  /  3.6 ,52.4%,4.5%,197,0.2%,"745,249"
2,Reyna,duelist,Unrated,All,,1.17, 14.7  /  12.6  /  3.9 ,51.0%,11.9%,241,0.1%,"1,990,146"
3,Raze,duelist,Unrated,All,,1.06, 13.5  /  12.8  /  4.1 ,50.8%,7.8%,229,0.1%,"1,296,861"
4,Sage,sentinel,Unrated,All,,0.88, 10.8  /  12.3  /  5.4 ,50.7%,11.3%,178,0.1%,"1,887,915"
5,Viper,controller,Unrated,All,,0.96, 11.9  /  12.4  /  4.3 ,50.1%,3.8%,195,0.1%,"630,660"
6,Skye,initiator,Unrated,All,,0.92, 11.6  /  12.6  /  6 ,50.0%,3.0%,192,0.1%,"503,756"
7,Fade,initiator,Unrated,All,,0.9, 11.4  /  12.7  /  5.2 ,50.0%,4.6%,187,0.1%,"759,992"
8,Astra,controller,Unrated,All,,1.08, 13.2  /  12.2  /  4.5 ,50.0%,1.1%,212,0.1%,"180,701"
9,Brimstone,controller,Unrated,All,,0.96, 11.8  /  12.3  /  5.3 ,49.9%,3.3%,198,0.1%,"558,806"
10,Cypher,sentinel,Unrated,All,,1.0, 12.1  /  12.1  /  4.2 ,49.8%,3.1%,196,0.2%,"509,195"
11,Breach,initiator,Unrated,All,,0.98, 12.5  /  12.8  /  5 ,49.7%,1.8%,206,0.1%,"307,788"
12,Jett,duelist,Unrated,All,,1.06, 13.6  /  12.8  /  3.3 ,49.6%,10.1%,223,0.1%,"1,690,651"
13,Phoenix,duelist,Unrated,All,,1.01, 12.5  /  12.4  /  3.6 ,49.6%,6.2%,208,0.1%,"1,036,381"
14,Omen,controller,Unrated,All,,1.0, 12.6  /  12.7  /  4.5 ,49.4%,5.3%,205,0.1%,"878,436"
15,Neon,duelist,Unrated,All,,0.97, 12.8  /  13.2  /  3.6 ,49.4%,4.8%,211,0.1%,"798,872"
16,Chamber,sentinel,Unrated,All,,1.08, 13.4  /  12.4  /  3 ,49.3%,3.2%,215,0.1%,"541,386"
17,Sova,initiator,Unrated,All,,0.91, 11.3  /  12.4  /  4.2 ,49.1%,5.2%,187,0.1%,"861,492"
18,Yoru,duelist,Unrated,All,,0.98, 12.5  /  12.7  /  3.6 ,48.4%,4.6%,203,0.1%,"759,856"
19,Harbor,controller,Unrated,All,,0.92, 11.8  /  12.8  /  4.5 ,47.9%,1.3%,194,0.1%,"212,727"
20,KAY/O,initiator,Unrated,All,,0.9, 11.7  /  12.9  /  6.7 ,47.8%,3.2%,196,0.1%,"535,526"
1,Killjoy,sentinel,Unrated,Split,,1.0, 12  /  12  /  3.6 ,52.4%,4.5%,199,0.2%,"109,471"
2,Raze,duelist,Unrated,Split,,1.08, 14  /  12.9  /  4.3 ,51.2%,8.9%,237,0.1%,"217,508"
3,Sage,sentinel,Unrated,Split,,0.89, 11  /  12.3  /  5.6 ,51.0%,11.8%,180,0.1%,"290,177"
4,Reyna,duelist,Unrated,Split,,1.16, 14.7  /  12.7  /  3.9 ,50.8%,11.8%,240,0.1%,"288,952"
5,Skye,initiator,Unrated,Split,,0.93, 11.7  /  12.6  /  6.2 ,50.5%,3.2%,194,0.1%,"78,540"
6,Cypher,sentinel,Unrated,Split,,1.03, 12.5  /  12.1  /  4.3 ,50.3%,3.6%,201,0.2%,"87,257"
7,Brimstone,controller,Unrated,Split,,0.96, 11.9  /  12.4  /  5.4 ,50.2%,3.3%,199,0.1%,"81,073"
8,Fade,initiator,Unrated,Split,,0.89, 11.4  /  12.7  /  5.1 ,50.0%,4.4%,186,0.1%,"107,050"
9,Viper,controller,Unrated,Split,,0.95, 11.8  /  12.4  /  4.1 ,49.7%,3.5%,192,0.1%,"85,345"
10,Astra,controller,Unrated,Split,,1.08, 13.3  /  12.3  /  4.6 ,49.7%,1.2%,214,0.1%,"28,579"
11,Phoenix,duelist,Unrated,Split,,1.01, 12.6  /  12.5  /  3.7 ,49.6%,6.1%,208,0.1%,"150,691"
12,Omen,controller,Unrated,Split,,1.01, 12.9  /  12.7  /  4.6 ,49.5%,5.6%,208,0.1%,"138,491"
13,Breach,initiator,Unrated,Split,,0.97, 12.5  /  12.8  /  5 ,49.4%,1.7%,206,0.1%,"41,730"
14,Jett,duelist,Unrated,Split,,1.03, 13.4  /  12.9  /  3.3 ,49.2%,9.8%,219,0.1%,"239,185"
15,Neon,duelist,Unrated,Split,,0.95, 12.6  /  13.3  /  3.6 ,49.1%,4.5%,208,0.1%,"111,403"
16,Chamber,sentinel,Unrated,Split,,1.06, 13.2  /  12.5  /  3 ,49.1%,2.9%,213,0.1%,"70,976"
17,Sova,initiator,Unrated,Split,,0.89, 11  /  12.4  /  4.1 ,48.6%,4.5%,182,0.1%,"111,266"
18,Yoru,duelist,Unrated,Split,,0.98, 12.5  /  12.8  /  3.6 ,48.3%,4.4%,202,0.1%,"108,952"
19,KAY/O,initiator,Unrated,Split,,0.9, 11.7  /  13  /  6.6 ,47.7%,3.2%,195,0.1%,"77,557"
20,Harbor,controller,Unrated,Split,,0.91, 11.8  /  12.9  /  4.4 ,47.2%,1.1%,192,0.1%,"27,425"
1,Killjoy,sentinel,Unrated,Ascent,,1.02, 12.2  /  11.9  /  3.7 ,52.8%,5.7%,201,0.2%,"135,517"
2,Reyna,duelist,Unrated,Ascent,,1.15, 14.7  /  12.8  /  3.9 ,50.8%,11.8%,239,0.1%,"278,398"
3,Raze,duelist,Unrated,Ascent,,1.06, 13.7  /  13  /  4.4 ,50.7%,7.9%,232,0.1%,"186,155"
4,Astra,controller,Unrated,Ascent,,1.09, 13.4  /  12.3  /  4.9 ,50.7%,1.2%,214,0.1%,"27,237"
5,Brimstone,controller,Unrated,Ascent,,0.97, 12  /  12.4  /  5.8 ,50.6%,3.5%,200,0.1%,"83,544"
6,Sage,sentinel,Unrated,Ascent,,0.88, 10.9  /  12.3  /  5.5 ,50.5%,11.0%,178,0.1%,"259,855"
7,Sova,initiator,Unrated,Ascent,,0.96, 11.9  /  12.4  /  4.5 ,49.9%,6.1%,196,0.1%,"144,956"
8,Skye,initiator,Unrated,Ascent,,0.92, 11.6  /  12.7  /  6.2 ,49.9%,2.8%,191,0.1%,"65,573"
9,Omen,controller,Unrated,Ascent,,1.01, 12.8  /  12.7  /  5 ,49.9%,5.7%,207,0.1%,"135,885"
10,Phoenix,duelist,Unrated,Ascent,,1.0, 12.6  /  12.6  /  3.8 ,49.7%,6.2%,208,0.1%,"146,040"
11,Viper,controller,Unrated,Ascent,,0.94, 11.7  /  12.5  /  4.3 ,49.7%,3.0%,192,0.1%,"71,425"
12,Cypher,sentinel,Unrated,Ascent,,1.0, 12.1  /  12.1  /  4.3 ,49.6%,3.0%,194,0.2%,"71,691"
13,Fade,initiator,Unrated,Ascent,,0.88, 11.3  /  12.8  /  5.2 ,49.6%,4.5%,186,0.1%,"105,630"
14,Jett,duelist,Unrated,Ascent,,1.05, 13.7  /  13  /  3.3 ,49.5%,10.3%,223,0.1%,"244,180"
15,Breach,initiator,Unrated,Ascent,,0.95, 12.3  /  12.9  /  5 ,49.2%,1.4%,203,0.1%,"34,202"
16,Chamber,sentinel,Unrated,Ascent,,1.07, 13.5  /  12.6  /  3 ,49.2%,3.0%,215,0.1%,"71,844"
17,Neon,duelist,Unrated,Ascent,,0.95, 12.7  /  13.4  /  3.6 ,48.7%,4.4%,207,0.1%,"103,129"
18,Harbor,controller,Unrated,Ascent,,0.91, 11.8  /  12.9  /  4.5 ,48.2%,1.1%,192,0.1%,"25,318"
19,Yoru,duelist,Unrated,Ascent,,0.97, 12.6  /  12.9  /  3.6 ,47.9%,4.3%,202,0.1%,"101,467"
20,KAY/O,initiator,Unrated,Ascent,,0.91, 11.8  /  13  /  6.6 ,47.9%,3.2%,196,0.1%,"74,734"
1,Killjoy,sentinel,Unrated,Haven,,0.98, 11.9  /  12.2  /  3.5 ,52.1%,4.3%,195,0.2%,"101,733"
2,Raze,duelist,Unrated,Haven,,1.05, 13.6  /  12.9  /  4 ,50.9%,7.5%,226,0.1%,"176,337"
3,Reyna,duelist,Unrated,Haven,,1.16, 14.8  /  12.8  /  3.8 ,50.9%,12.0%,240,0.1%,"282,992"
4,Sage,sentinel,Unrated,Haven,,0.88, 10.9  /  12.4  /  5.3 ,50.7%,11.3%,179,0.1%,"268,611"
5,Fade,initiator,Unrated,Haven,,0.89, 11.5  /  12.9  /  5.1 ,50.1%,4.4%,187,0.1%,"103,994"
6,Skye,initiator,Unrated,Haven,,0.93, 11.8  /  12.7  /  5.9 ,50.1%,3.1%,194,0.1%,"73,317"
7,Breach,initiator,Unrated,Haven,,0.98, 12.7  /  13  /  4.9 ,50.0%,1.7%,206,0.1%,"39,866"
8,Omen,controller,Unrated,Haven,,1.02, 13  /  12.7  /  4.6 ,50.0%,6.3%,208,0.1%,"149,482"
9,Brimstone,controller,Unrated,Haven,,0.96, 11.9  /  12.5  /  5.2 ,49.8%,3.5%,198,0.1%,"83,328"
10,Cypher,sentinel,Unrated,Haven,,1.01, 12.3  /  12.2  /  4.1 ,49.8%,3.1%,197,0.2%,"74,219"
11,Phoenix,duelist,Unrated,Haven,,1.02, 12.8  /  12.6  /  3.5 ,49.8%,6.4%,210,0.1%,"150,707"
12,Jett,duelist,Unrated,Haven,,1.06, 13.8  /  13  /  3.3 ,49.8%,10.3%,224,0.1%,"244,650"
13,Astra,controller,Unrated,Haven,,1.08, 13.3  /  12.4  /  4.4 ,49.5%,1.1%,212,0.1%,"25,967"
14,Viper,controller,Unrated,Haven,,0.93, 11.7  /  12.6  /  4.1 ,49.4%,2.9%,191,0.1%,"69,073"
15,Sova,initiator,Unrated,Haven,,0.92, 11.5  /  12.5  /  4.1 ,49.3%,5.5%,189,0.1%,"130,389"
16,Neon,duelist,Unrated,Haven,,0.96, 12.9  /  13.4  /  3.5 ,49.1%,4.6%,210,0.1%,"108,828"
17,Chamber,sentinel,Unrated,Haven,,1.07, 13.4  /  12.5  /  2.9 ,49.0%,3.3%,214,0.1%,"77,563"
18,Yoru,duelist,Unrated,Haven,,0.98, 12.7  /  12.9  /  3.5 ,48.5%,4.6%,204,0.1%,"107,745"
19,Harbor,controller,Unrated,Haven,,0.91, 11.9  /  13  /  4.4 ,47.8%,1.1%,193,0.1%,"25,612"
20,KAY/O,initiator,Unrated,Haven,,0.89, 11.7  /  13.1  /  6.6 ,47.4%,3.1%,195,0.1%,"72,514"
1,Killjoy,sentinel,Unrated,Icebox,,0.98, 11.7  /  12  /  3.5 ,52.6%,4.1%,195,0.2%,"96,736"
2,Reyna,duelist,Unrated,Icebox,,1.17, 14.8  /  12.6  /  3.7 ,51.2%,12.0%,242,0.1%,"280,531"
3,Viper,controller,Unrated,Icebox,,1.0, 12.4  /  12.4  /  4.2 ,50.9%,5.8%,202,0.1%,"135,613"
4,Sage,sentinel,Unrated,Icebox,,0.88, 10.9  /  12.3  /  5.1 ,50.9%,11.8%,179,0.1%,"277,589"
5,Jett,duelist,Unrated,Icebox,,1.08, 13.8  /  12.8  /  3.3 ,50.2%,10.7%,227,0.1%,"251,148"
6,Raze,duelist,Unrated,Icebox,,1.04, 13.4  /  12.9  /  3.8 ,50.2%,7.7%,225,0.1%,"179,719"
7,Fade,initiator,Unrated,Icebox,,0.89, 11.3  /  12.8  /  5.1 ,49.7%,4.3%,186,0.1%,"100,000"
8,Breach,initiator,Unrated,Icebox,,0.95, 12.2  /  12.9  /  4.6 ,49.6%,1.2%,200,0.1%,"28,601"
9,Neon,duelist,Unrated,Icebox,,0.97, 12.9  /  13.3  /  3.5 ,49.6%,4.7%,212,0.1%,"111,277"
10,Chamber,sentinel,Unrated,Icebox,,1.09, 13.4  /  12.3  /  2.9 ,49.5%,3.3%,216,0.1%,"78,068"
11,Astra,controller,Unrated,Icebox,,1.04, 12.7  /  12.3  /  3.8 ,49.5%,0.7%,205,0.1%,"15,768"
12,Skye,initiator,Unrated,Icebox,,0.91, 11.5  /  12.6  /  5.6 ,49.5%,2.6%,191,0.1%,"61,128"
13,Sova,initiator,Unrated,Icebox,,0.93, 11.5  /  12.4  /  4.1 ,49.4%,6.4%,190,0.1%,"150,004"
14,Cypher,sentinel,Unrated,Icebox,,0.97, 11.8  /  12.2  /  3.9 ,49.2%,2.3%,191,0.2%,"53,310"
15,Omen,controller,Unrated,Icebox,,1.0, 12.7  /  12.7  /  3.9 ,49.1%,4.9%,207,0.1%,"115,837"
16,Phoenix,duelist,Unrated,Icebox,,0.98, 12.2  /  12.4  /  3.4 ,49.0%,5.8%,203,0.1%,"136,054"
17,Yoru,duelist,Unrated,Icebox,,0.98, 12.5  /  12.8  /  3.4 ,48.5%,4.7%,203,0.1%,"109,417"
18,Brimstone,controller,Unrated,Icebox,,0.92, 11.4  /  12.4  /  4.5 ,48.1%,2.6%,190,0.1%,"61,452"
19,Harbor,controller,Unrated,Icebox,,0.92, 11.8  /  12.9  /  4.3 ,48.1%,1.1%,194,0.1%,"26,855"
20,KAY/O,initiator,Unrated,Icebox,,0.91, 11.8  /  12.9  /  6.6 ,48.0%,3.3%,197,0.1%,"76,480"
1,Killjoy,sentinel,Unrated,Fracture,,0.99, 11.7  /  11.8  /  3.7 ,52.4%,4.4%,197,0.2%,"103,847"
2,Reyna,duelist,Unrated,Fracture,,1.18, 14.6  /  12.4  /  3.9 ,51.1%,11.9%,242,0.1%,"278,979"
3,Sage,sentinel,Unrated,Fracture,,0.87, 10.5  /  12.1  /  5.3 ,50.6%,11.0%,176,0.1%,"257,813"
4,Raze,duelist,Unrated,Fracture,,1.05, 13.3  /  12.6  /  4.1 ,50.5%,7.6%,227,0.1%,"177,456"
5,Brimstone,controller,Unrated,Fracture,,0.99, 12.1  /  12.2  /  5.5 ,50.3%,4.2%,203,0.1%,"99,617"
6,Skye,initiator,Unrated,Fracture,,0.92, 11.3  /  12.4  /  5.9 ,50.3%,3.0%,190,0.1%,"71,040"
7,Viper,controller,Unrated,Fracture,,0.96, 11.7  /  12.2  /  4.3 ,50.2%,3.9%,194,0.1%,"90,812"
8,Breach,initiator,Unrated,Fracture,,1.0, 12.7  /  12.7  /  5.2 ,50.0%,3.1%,210,0.1%,"71,643"
9,Fade,initiator,Unrated,Fracture,,0.89, 11.2  /  12.5  /  5.2 ,50.0%,4.5%,186,0.1%,"105,460"
10,Cypher,sentinel,Unrated,Fracture,,1.0, 12  /  12  /  4.2 ,49.9%,3.1%,196,0.2%,"73,584"
11,Phoenix,duelist,Unrated,Fracture,,1.01, 12.3  /  12.2  /  3.6 ,49.7%,6.1%,206,0.1%,"143,057"
